barcode,name,initial_price,price
6920354839979,"Colgate chotkali",12800,15000
5908311862407,"Aquafresh ",20000,30000
9175386371462,Glitserin,3000,6000
4780048480823,"sterch 100m",6500,8000
6923194161873,"oly pudra",8000,10000
8696814071729,"gabrini rapuda turkiya",21500,25000
8976808790219,"nober pudra",11000,14000
6903072439966,"gyruch pudra",15000,35000
5400171220248,"bibi doga krem mnsr",25000,60000
3822472753935,"periay doga krem",28000,48000
6823199180018,"kalagen dogkrem",33000,60000
6932511229042,"foot patches ",20000,35000
6223004492631,"ozdiruvchi choy",22000,35000
2942682691405,veins,10000,18000
1470201153147," tovonga genton pin",22000,35000
7367838777560,"maycher baza 01 02 03 04",22000,30000
9059883289010,"sheglam baza",25000,56000
1577301008046,"nova baza",25000,35000
8509386845899,"face primer baza",30000,55000
6541623635551,"kalifornaya baza",35000,65000
3668704962788,"emelie makyaj sprey",23000,30000
4690302785727,"feberlik makyaj sprey",20000,25000
6939426986596,"mac makyaj sprey",30000,65000
4691973288340,"maycher makyaj sprey",30000,46000
3443342203482,"mac baza",30000,60000
7186542830954,"maycher makyaj sprey",28000,42000
6111190248265,"LAMSA LASION",28000,33000
8185934633042,"MUSHK BUSHRA 80GR",28000,33000
9296689460858,"AMANI LASIYON 80GR",28000,33000
2876096619116,"BUSHRA LASION 80GR",28000,33000
6924372656402,"USHAS MAKYASH SPREY ",22000,28000
3145891879100,"SHANEL BAZA",25000,45000
8809632883485,"ANJO SPF 50+ TANALKA",45000,60000
4690302784485,"EKPRT FEBERLIK",55000,60000
6145019214155,"LETO SPF50+ FEBERLIK",55000,60000
8809474493057,"ZAGAR KAREYA",30000,35000
0934070999103,"KALAGEN SPF80+",25000,45000
8809173342663,"SELO ZAGAR 50+",26500,32000
8809173342656,"SELO ZAGAR 50+ TANALKALI",26500,32000
8809173342670,"SELO ZAGAR 50+ SIYOX",26500,32000
8809755463380,"KALAGEN SPF50+ 4\1",36000,48000
8809733213464,"DAILY ZAGAR 50+",36000,48000
6971764151243,"DR*RASHEL CUN ZAGAR 90+",26000,30000
6971764154565,"ESTELIN 80+ZAGAR",28000,42000
6971764154596,"ESTELIN 80+ZAGAR TANALKA",29400,48000
8809674292085,"4\1ZAGAR 36+",34000,48000
6972944905533,"BEAUTY CITY ZAGAR 50+ TANALKA",20000,46000
6959854200118,"BB TANALKA ARXIDEYA",7500,12000
8809173347613,"ASPASIIA ZAGAR 50+ TANAKA",36000,45000
6928001836258,"SUN KREM 90 +++",22500,42000
6928001839167,"KALAGEN 90CPF TANALKA",24000,45000
6928001837873,"KALAGEN UMIVALKA",25000,45000
6971764156989,"DR*RASHEL UMIVALKA",28000,45000
6971764157047,"DR*RASHEL UMIVALKA VITAMIN C",28000,45000
6971764153681,"DR*RASHEL UMIVALKA 100G KOK",26000,33000
6971764153704,"DR*RASHEL UMIVALKA 100G PUSHTI",26000,33000
6971764153674,"DR*RASHEL UMIVALKA 100G CARIQ",28000,33000
6971764153667,"DR*RASHEL UMIVALKA 100G ALOY",28000,33000
4897066835266,"XEAVEN DOVE ZAMOK",24000,33000
6971764150970,"DR*RASHEL WHITENING",26500,32000
8809782551463,"ZAGAAR KOREYA",65000,135000
8809782555508,"ZAGAAR KOREYA MALOCHNI 50+",45000,135000
3145891669930,"SHANEL  PILIG",12000,20000
8011607104192,"PUPA PILIG",18000,25000
6971764150611,"DR*RASHEL GOLD MASKA",22200,35000
6922201310754,"CHARKOL MASKA ",11000,20000
799439309746,"DEXE GOLD MASKA",11000,20000
799439308947,"DEXE CHORNI MASKA",11000,20000
5060328892096,"KALAGEN  MASKA CHORNI",11000,24000
8809435400667,"BBCROME TANALKA SPF",35000,38000
4605319001920,"POLNIY BLOK SPF",28000,35000
4605319002989,"35CPF ",27000,33000
6972210180398,"DR XEAL ZAGAR 80+",28500,32000
6972210180381,"DR XEAL ZAGAR 80+ OQ",28500,32000
9908332980056,"SKIN DOKTOR",28500,35000
9908332980049,"SKIN DOKTOR OQ",28500,35000
5901761948943,"EVELEN 8\1",26000,35000
5901964013516,"EVELEN DOUBLE ",26500,32000
4780023328850,"ANFIYORA UMIVALKA 180GR",16500,25000
8806194050225,"TONYMOLY GURUCH UMIVALKA",41000,48000
8806358531485,"TONYMOLY ALOY UMIVALKA",40500,46000
8806194050195,"TONYMOLY AVAKADO UMIVALKA",41920,48000
8806194005157,"TONYMOLY GLOS UMIVALKA",41000,48000
8806194050218,"TONYMOLY ANOR UMIVALKA",41000,480008806194050218
8806194005133,"TONYMOLY PAMELDORI UMIVALKA",36000,46000
8041608344617,"DR*RASHEL  PILIG",28000,38000
6971764156286,"DR*RASHEL  PILIG ALOY",28000,38000
6971764156255,"DR*RASHEL  PILIG KOK",28000,38000
4605319005362,"FOOT CARE ",28000,35000
3600542398640,"GARINER PENKA",58000,64000
4690302756536,"MUR MUR GEL DUSH",17500,22000
4690302772673,"TAVARUA GEL DUSH",17500,22000
4690302772932,"VALKYRIE GEL DUSH",17500,22000
2465017104253,"CHIYA URUG 200G",16000,20000
6295253079222,"BUSHRA LASION 250G",46000,62000
6295253079826,"LAMSA LASION 250G",46000,62000
6295253073824,"SADAAT LASIYON",46000,62000
6295253043148,"THALJEE BODI LASIYON",46000,62000
0908077215313,"YESNOW GIDRA FILNIY MASLA",38000,60000
7790690936521,"YESNOW GIDRA FILNIY MASLA 120G",40000,70000
8809809800178,"TONER KAREYA",60000,75000
8809809800185,"TONER KAREYA AVAKADO",60000,75000
6972049993817,"ALOY CKRUB",8500,10000
4780075710801,"ALOY GEL",7500,10000
4780016781853,"VELYUR QOL KREM 150GR",3500,10000
7507397155656,"ANFIYORA  KREM",14000,18000
6805423413468,"TUZ MASAJNI MASLA",28000,56000
4610117633969,"SUPER FOOD",46000,55000
3600542326810,"GARINER  SUV",39000,42000
5059018212856,"AVON GEL DUSH 500 GR",32000,42000
6931848072482,"FLOVER GEL DUSH",25000,40000
5056795404184,"BODIY SPREY  ",31000,45000
5056795404160,"BODIY SPREY  KOK",31000,45000
6683642627237,"VINECYA*S SEKRET",31000,45000
7892627364381,"VIKTORIYA SPREY ANOR",31000,45000
6972758126827,"FERAMON SPREY",36000,60000
6972758126841,"FERAMON SPREY LAB",38000,60000
033200197645,"ULTRA MAX KLINIK",35000,45000
079400066725,"DOVE REXONA",45000,55000
079400457677,"AXE REXONA",40000,55000
037000124511,"SEKRET KLINIK",45000,58000
079400458247,"DOVE REXONA OLMA",40000,48000
079400352996,"DOVE REXONA ANOR",40000,48000
079400505248,"DAVE REXONA KAKOS",40000,48000
079400587190,"DEGAREE REXONA",55000,65000
079400457400,"DEGAREE REXONA GUL",55000,65000
079400017437,"DEGAREE REXONA SEXY",55000,65000
079400486868,"DEGAREE REXONA ARXIDEYA",58000,65000
022200960526,"LADY SPEED STIK",15000,42000
022200954402,"LADY SPEED STIK ALOY",15000,42000
022200962681,"LADY SPEED STIK FRESH",15000,42000
022600190622,ARRID,15000,45000
047400049529,"GILLETTE CLINIKAL",130000,165000
8850303035603,"GILLETTE CLINIKAL AMERKAN",175000,185000
96125694,"REXONA MURSKOY",26000,30000
46274946,"REXONA MURSKOY 72",26000,30000
59082309,"REXONA MURSKOY MEN",26000,30000
46274908,"REXONA MURSKOY KOK",26000,30000
4800888221964,"REXONA MURSKOY SARIQ",26000,30000
022200003247,"SPEED STICK",26000,35000
022200940214,"SPEED STICK FRESH",28000,35000
7509552910827,"GARINER OBAO",45000,60000
7509552910285,"GARINER OBAO AKTIVE",48000,60000
59086604,"AXE STIK",24000,33000
4780023326771,"ekler soch yogi",38000,42000
4780028220555,"doktor soch yogi",28000,33000
4811248009177,"feramon sprey",17000,25000
5430001881462,"soft virjin 80g",75000,95000
4600702025972,"BARXATNIK RUK",11000,15000
4760063650029,NEWON,12000,15000
4780026391684,"FIONA OLMA",14000,17000
4780026391479,"FIONA BALZAM",14000,18000
4780069410199,"DELFIN GEL",8500,10000
4780014482776,"KAPLYA 1L",11000,13000
4604049100699,"AOS GEL",30000,32000
6971764151106,"DOKTOR RASHEL CC TANALKA",26680,42000
4716112284301,"FLUR TANALKA",15000,24000
4716112283892,"FLUR TANALKA 01",15000,24000
4716112284288,"FLUR TANALKA 02",15000,24000
6977516230266,"GABINI TANALKA 101",28000,30000
8696814078520,"GABINI TANALKA 102",28000,30000
3600523784448,"LARIAL TANALKA",100000,110000
5059018216762,"ANOR SPEY AVON",21000,25000
5907582900269,"BELLE JARDIN KREM  OT MORSHIN",15500,18000
5907582900214,"BELLE JARDIN KREM  ALOY",15500,18000
5907582900283,"BELLE JARDIN KREM  KOZE",15500,18000
